Price,Close,High,Low,Open,Volume
Ticker,AMGN,AMGN,AMGN,AMGN,AMGN
Date,,,,,
2018-01-02,143.24554443359375,143.90917378725052,141.15755704981353,141.91020955215868,2301100
2018-01-03,145.9485626220703,146.83879392374345,142.24198228702105,143.17268089311344,3084000
2018-01-04,145.3335418701172,146.36944093620392,144.66182394698595,146.1833061029406,2021100
2018-01-05,146.19947814941406,146.38562532520126,144.8884211400619,146.35324653424237,2211400
2018-01-08,146.1590118408203,146.68504983861675,144.40282685986756,146.0618878243719,2356200
2018-01-09,148.4088592529297,149.3395456842783,145.77054363733686,146.102358307219,3031700
2018-01-10,147.9879913330078,148.66779758017282,145.97283815510366,147.82613446685718,2542700
2018-01-11,147.25965881347656,147.98802103176834,146.56366303535538,147.98802103176834,2101300
2018-01-12,149.75228881835938,150.21359396612272,147.08970752419788,147.5671897183144,3111400
2018-01-16,150.1569061279297,151.70266580763962,149.04817358696206,150.22165134659105,3374600
2018-01-17,152.15589904785156,153.19989891842687,150.44828216981435,151.90501899568096,4018200
2018-01-18,151.81600952148438,152.60102853866516,150.12458188607064,151.70270844420526,3084900
2018-01-19,153.18373107910156,153.53982372540972,151.82411808289797,152.43917934086267,3652300
2018-01-22,155.6520538330078,155.84628950911934,153.3050857216606,153.54787722957775,3579800
2018-01-23,155.37693786621094,158.64649236300332,155.06131252531046,156.19432340318593,3486700
2018-01-24,154.27621459960938,156.14568776724246,153.36979401160085,155.99191943763003,2765700
2018-01-25,153.83116149902344,155.22315320257817,152.87618470291443,154.89942702216365,2470300
2018-01-26,158.63023376464844,159.2695850409562,154.56757342562696,154.61612924936944,3920300
2018-01-29,160.2407684326172,162.85479367208654,158.33891598893698,158.79213257575282,4565700
2018-01-30,154.79417419433594,159.00251431791122,154.21147961657616,158.7678113732899,3990800
2018-01-31,150.56967163085938,155.60349869875935,149.4366487051297,155.09363776473654,4677700
2018-02-01,150.17312622070312,151.20093671013194,147.55910077089737,149.7199219463097,4078100
2018-02-02,151.3465576171875,155.8705351427133,148.109371112449,148.4735644733413,7029400
2018-02-05,141.42459106445312,152.63335472356545,141.31937854721056,151.1928076594322,6922800
2018-02-06,142.96229553222656,145.9000472943023,139.23143624871577,144.04676278679887,7527700
2018-02-07,143.6259002685547,146.4746283865685,142.43623301624652,142.63855721087188,5715700
2018-02-08,140.10549926757812,146.01337011478466,140.00838757466337,143.99821604455371,6026800
2018-02-09,140.3806610107422,141.99925498718898,136.1642182685858,140.92288851098482,6093900
2018-02-12,141.521728515625,142.97846523622394,140.00834744002765,141.06043575762072,4324800
2018-02-13,142.38771057128906,143.00277182156478,139.57136057943785,140.71245991952517,3834700
2018-02-14,146.38323974609375,147.02741183750186,141.93107033438707,141.94738211102424,5958700
2018-02-15,149.7101593017578,150.8517350223272,146.69311464751752,146.77466110280483,4493400
2018-02-16,149.66934204101562,151.76495094915074,148.95992292700694,149.8731956770175,4365800
2018-02-20,149.20452880859375,150.28903149277002,148.51958367403086,149.13114449608418,4078400
2018-02-21,148.7560577392578,151.2593861672376,148.73159630021624,149.37578070761114,4054600
