Price,Close,High,Low,Open,Volume
Ticker,CLX,CLX,CLX,CLX,CLX
Date,,,,,
2018-01-02,118.15379333496094,121.32379241451346,118.04785106670515,121.2504410717387,868000
2018-01-03,116.8825454711914,118.65091126699534,116.64622702188787,118.65091126699534,1033300
2018-01-04,118.72419738769531,119.72653284720016,117.35514261183971,117.95818027239383,766900
2018-01-05,118.7568130493164,118.92794959490757,118.00709745363753,118.78125935089544,658900
2018-01-08,119.3354263305664,119.3680172604452,118.17009852612088,118.32493342076066,646900
2018-01-09,119.10723114013672,119.61247128708776,118.74052418075168,119.38429751526871,540100
2018-01-10,117.69744110107422,118.65904133247254,115.85574904370365,118.52865275286949,726800
2018-01-11,115.70905303955078,117.81966654782096,115.59496615895611,117.4285133050017,1192200
2018-01-12,114.86968231201172,115.71718296960745,114.29109092596792,115.69273667219365,1101300
2018-01-16,116.05133819580078,116.86624821062776,115.04898992469477,115.26901911036926,875100
2018-01-17,117.6077880859375,118.30045395392776,116.06759662964554,116.4995102626164,861000
2018-01-18,116.64618682861328,117.69741498638555,116.14909135939406,117.65667944451994,586600
2018-01-19,117.23295593261719,118.03156427026009,116.73586032321352,117.05367473351815,789700
2018-01-22,117.73818969726562,117.80338398740534,116.3854485891197,117.15961057840224,733800
2018-01-23,117.63983154296875,118.15621860426816,116.85293755789712,117.75458561295258,727500
2018-01-24,116.59881591796875,118.03324774824253,115.91848389188283,117.67258860118464,716100
2018-01-25,119.77919006347656,119.8119715817199,116.08244539192094,116.65622827285625,1250500
2018-01-26,116.91849517822266,119.08243767142153,116.69717932458481,118.85292956663179,1225800
2018-01-29,115.54143524169922,117.1561840683475,114.53322562227227,116.72175716199375,1208300
2018-01-30,116.19721221923828,116.85295522137743,115.17261768691384,115.5742632461977,1030700
2018-01-31,116.13981628417969,117.52506979312719,115.5250596978838,116.33653038715133,1818600
2018-02-01,115.02507019042969,116.95130020777813,115.02507019042969,116.049664616867,1658800
2018-02-02,107.3037109375,110.86109921557868,107.18895688037662,110.59060482937626,3511100
2018-02-05,104.09879302978516,107.92667628048211,103.98403895508194,106.72175224247026,2431600
2018-02-06,107.07420349121094,107.48404119881597,102.45942690125696,102.96762790999297,2732100
2018-02-07,104.77091979980469,107.29551553017902,104.64796722684875,107.22174773858202,1857200
2018-02-08,104.72175598144531,106.23815458455724,103.36109148923312,104.41027525238886,1831700
2018-02-09,105.5741958618164,106.20534943284979,102.44303602937923,105.38567401856123,1729600
2018-02-12,104.8774642944336,106.90206352077269,104.09877517059256,105.59878264439361,1166600
2018-02-13,105.35287475585938,105.59058761823749,104.10697093972944,104.45123309573059,1109700
2018-02-14,105.5741958618164,106.20534943284979,104.17254540019113,105.1725504062035,1019500
2018-02-15,107.40208435058594,107.42667361605548,104.83650217733926,105.95945991159657,844800
2018-02-16,107.95125579833984,108.87749307233011,106.72174260585932,107.07420955814298,1088700
2018-02-20,105.55780792236328,107.72994295398361,105.27091649980726,107.57421511798024,1024500
2018-02-21,103.51679992675781,106.41845139446421,103.45942290283254,105.61517305951041,934500
2018-02-22,104.34468841552734,104.84469094572788,103.61517775742375,103.72993182137527,880400
2018-02-23,106.09060668945312,106.09060668945312,104.11519174934446,104.87749030594429,895900
2018-02-26,107.8037109375,107.85288945980447,106.22993568748771,106.48403305756337,983100
2018-02-27,106.71354675292969,108.72174906476577,106.37747682325077,107.7299362864402,1119900
2018-02-28,105.80372619628906,107.37750182134947,105.59061504643168,107.24635072578022,1408100
2018-03-01,106.36929321289062,107.95946568518558,105.68075628688536,105.80371511632639,1371600
2018-03-02,107.32832336425781,107.49225598020844,105.6889721902377,105.75454773806933,810500
2018-03-05,108.95946502685547,109.1397946487154,106.94307017479449,107.33651093737238,1049500
2018-03-06,108.46763610839844,108.93484453492468,107.13156134048948,108.90206302546342,696400
2018-03-07,107.00865936279297,108.41850249130549,106.6398078191461,108.0004599022155,834300
2018-03-08,109.00043487548828,109.0905996728271,106.92665704395009,107.12338364921325,620800
2018-03-09,107.8447036743164,109.27913569471589,107.74633411655586,109.1889708960006,821500
2018-03-12,106.86111450195312,108.73817881502131,106.50045520124526,107.8775168487427,972500
2018-03-13,107.53324890136719,108.00045751104025,106.94308144169558,107.28734370862774,786400
2018-03-14,105.38568115234375,107.76273501178672,105.3119008545502,107.60699467136882,720200
2018-03-15,104.21354675292969,106.1643785235595,103.47583752259186,105.32011372525045,1236300
2018-03-16,105.32012176513672,105.52504066400536,104.30371952413576,104.30371952413576,1454900
2018-03-19,105.34469604492188,106.8447036721035,104.94305055766934,105.2463264825253,694100
2018-03-20,105.0168228149414,106.18896530332795,104.62338207038945,105.57420866804112,643600
2018-03-21,102.30370330810547,104.82010699433921,101.65615887371591,104.82010699433921,1460400
2018-03-22,102.87747955322266,104.14797289763904,102.04960550055569,102.07419476636086,1037600
2018-03-23,101.96763610839844,103.89387233287808,101.72992945676754,103.15616311292496,784500
2018-03-26,101.82008361816406,103.09877529663166,101.34467036461119,102.56598501272774,754800
2018-03-27,103.59060668945312,104.4676593872951,101.50043752820324,101.79552126333034,745700
2018-03-28,106.81192779541016,107.6234111599567,103.91027535684746,103.91027535684746,1790300
2018-03-29,109.10697937011719,109.86107914308238,107.41024550050616,107.41024550050616,1893000
2018-04-02,105.48405456542969,108.5578380537816,104.84470860043305,108.5578380537816,1484400
2018-04-03,105.19715118408203,105.85289408874851,104.53321602698739,105.56600265943955,1014000
2018-04-04,106.59880065917969,107.57421649969233,104.09878789720517,104.43485785200045,966800
2018-04-05,106.7627182006836,107.32009145537045,105.03320264931136,106.50862083414967,889100
2018-04-06,105.33647155761719,108.31189699094448,104.75450908068306,106.5905738048165,950400
2018-04-09,104.89387512207031,105.94305876535567,104.0987888835603,105.73813988960063,736100
2018-04-10,104.09058380126953,105.71354394631015,103.73812310709354,105.24632293562411,938600
2018-04-11,103.59880828857422,104.09881095170344,103.07421635572211,104.05782466641254,661700
2018-04-12,102.1889419555664,103.91845774175604,101.93484455453351,103.8037036733136,960000
2018-04-13,102.89385223388672,103.30368993497198,102.17254013128237,102.34467121530294,634300
2018-04-16,104.23815155029297,104.53323528639692,102.29552425017579,103.00863806773619,1073700
2018-04-17,103.96762084960938,104.55778811613867,103.3036858015773,104.55778811613867,650800
2018-04-18,103.8692855834961,104.75453666888032,103.49223558497202,103.96764264612005,833200
2018-04-19,97.67253112792969,101.40205073068906,97.47580451428831,101.22991963397347,3950100
2018-04-20,94.164306640625,97.77907811567212,93.75446894523881,97.71350258353986,3113100
2018-04-23,94.09874725341797,95.0249782910469,93.45120287620519,94.67251758582039,2094600
2018-04-24,95.02452850341797,95.9833733358121,93.87557201704634,94.23100500748704,1933000
2018-04-25,96.23133087158203,97.49600894304166,94.78480251155848,94.78480251155848,1536500
2018-04-26,96.0081558227539,96.76861493941668,95.56179773957449,96.23959935335883,1376000
2018-04-27,97.79359436035156,98.35567428074326,95.71886365530986,95.92551059212498,1376300
2018-04-30,96.8760757446289,98.17381817905921,96.27267025626904,98.15728919988871,2475100
2018-05-01,96.56195831298828,97.51253526635143,95.54525284143091,96.55369067162336,1791200
2018-05-02,95.88416290283203,97.47120960286902,95.05757529160073,95.05757529160073,2627100
2018-05-03,97.94237518310547,98.36393667750518,95.57833384752355,95.57833384752355,2036600
2018-05-04,99.43024444580078,99.93446349424802,97.78533653545689,97.85972640832733,1404500
2018-05-07,99.87659454345703,100.48826768326276,99.04173919031915,99.72780850335685,969200
2018-05-08,98.12421417236328,100.11629333436144,97.99196343441433,99.78565702994463,1183000
2018-05-09,99.46331024169922,99.76914368779525,98.41354021728402,98.53752964700388,1441000
2018-05-10,99.44678497314453,100.2816404905774,98.66152901641514,99.95100408013582,837900
2018-05-11,99.6368637084961,100.2650720102268,98.78547954379347,99.78564971926488,832800
2018-05-14,98.39701843261719,99.59556829271564,97.90932832174873,99.41371795667537,1088200
2018-05-15,97.0414047241211,97.94238235954079,95.66926600926112,97.28937726942402,1775400
2018-05-16,97.85144805908203,98.23994528076118,97.016599036286,97.13232080788868,1210900
2018-05-17,97.81013488769531,98.14903260292154,96.991808433478,97.8762634245468,943500
2018-05-18,96.9835433959961,97.69440937411746,96.0246985673248,97.52082670127817,2292200
2018-05-21,98.3721923828125,98.63670016347496,97.10751435944626,97.37202214010871,1007300
2018-05-22,98.82682800292969,99.68648000778474,98.15729395274116,98.6615129777654,817200
2018-05-23,98.72763061523438,99.39716459153613,98.29780150705889,99.04999929318436,819300
2018-05-24,98.93428039550781,99.97577632075965,98.74416245630971,99.09132776472698,1050700
2018-05-25,101.32313537597656,101.6620330991438,99.0086869828576,99.0417512520581,1249900
2018-05-29,102.61260223388672,103.2077464197347,101.01728763263019,101.01728763263019,2130600
2018-05-30,104.22442626953125,104.77824474805749,102.04223553490168,102.70350812991306,1567500
2018-05-31,99.87659454345703,104.1500514919403,99.2897180259407,103.81941514656614,3401300
2018-06-01,99.55424499511719,100.22377915120391,99.0748225174024,100.10805735401274,1158600
2018-06-04,100.20723724365234,100.521338323177,99.63688966937141,99.63688966937141,753000
2018-06-05,100.3477554321289,100.68665313478044,99.3889106024531,100.65358886758153,946500
2018-06-06,100.78583526611328,100.95941792075712,99.66167552582263,100.2072264173005,823300
2018-06-07,102.9515151977539,103.98474996968494,100.42215218773883,100.96770317437341,1733700
2018-06-08,104.76998901367188,105.06756108461032,102.6125946525499,102.84403819519902,1110600
2018-06-11,105.73711395263672,106.28266494879486,104.43110366458966,104.78653668459323,1379500
2018-06-12,105.48085021972656,106.34876977229287,104.53027316366901,105.72882903656358,1349600
2018-06-13,104.96834564208984,106.05117956349206,104.62118040302754,105.74533991592068,1365700
2018-06-14,105.71229553222656,105.8280173003357,104.55507154477176,105.05929052283162,1063500
2018-06-15,106.5058364868164,107.28281837606133,105.49739211781436,105.70403905503152,1886300
2018-06-18,104.91877746582031,106.20825857170978,103.65409928838332,105.95200578891345,1830100
2018-06-19,105.43952941894531,106.31571039967963,104.64600595040714,104.7286634626033,1371000
2018-06-20,104.81959533691406,105.77844019767089,103.97647856828681,105.33208203556316,840400
2018-06-21,104.93531799316406,105.32381526561194,104.0756722364525,104.97664990543637,940400
2018-06-22,106.5554428100586,106.91914348223017,104.97665698891818,104.97665698891818,1014900
2018-06-25,109.44844818115234,109.73774622339607,106.58018869705914,106.62978192643101,1439700
2018-06-26,108.42350769042969,109.65512791076986,107.12577155292679,109.14263495730303,1461300
2018-06-27,107.97715759277344,109.91963116161581,107.43986800866395,108.44004469662136,1402100
2018-06-28,110.64701843261719,110.7379435745989,108.1672555924534,108.34910587641683,1443000
2018-06-29,111.79598999023438,112.61431637991309,109.94442894260524,110.42385133742157,1567900
2018-07-02,110.36598205566406,111.68851467405717,109.9361529636414,110.91979424503647,1087200
2018-07-03,109.79563903808594,110.93633403089932,108.91945814732122,110.58915611877879,888900
2018-07-05,111.58108520507812,111.5976078789571,109.90311307720529,109.95270632429857,1295100
2018-07-06,111.95301818847656,112.66388397581618,111.39093210390052,111.89515100669635,1078200
2018-07-09,109.02691650390625,111.78772910681707,108.78721161189003,111.5893435111042,1736000
2018-07-10,109.50631713867188,109.75429593085063,108.13419136570339,109.23354172854779,1681900
2018-07-11,110.16759490966797,110.58915004734692,109.46499040081048,109.81216829387067,1412900
2018-07-12,110.30809783935547,111.01896358411346,109.9278746576966,110.31637178638552,967200
2018-07-13,111.1429672241211,111.77116921985302,110.63047436784437,110.76273140254321,936300
2018-07-16,110.92807006835938,111.25871272568574,110.2337394070656,111.25871272568574,1095100
2018-07-17,111.6058578491211,112.01087768851289,110.78753160972211,110.9859171681985,525600
2018-07-18,107.06790161132812,109.25009259078195,106.58021790522426,108.45657547792261,2907000
2018-07-19,107.73743438720703,108.05154173935622,105.25767136554994,105.59657533889755,1368100
2018-07-20,108.94427490234375,109.67166359195684,107.66306128580186,107.82837632377169,1633500
2018-07-23,108.02674102783203,109.26662249171369,107.37372972706088,108.9359798670427,1016300
2018-07-24,107.15055847167969,108.06807124513516,106.02639879080385,107.49772376261875,1721200
2018-07-25,107.71263122558594,108.58055075301033,106.91084022158424,107.31587269777593,1239700
2018-07-26,108.91119384765625,110.00229569618324,108.01021625659327,108.01021625659327,1282900
2018-07-27,109.70474243164062,110.63879075499239,107.45642243023576,108.29127163314946,1518500
2018-07-30,111.27521514892578,112.05220948633414,108.87811622999504,109.12609502468023,1837700
2018-07-31,112.53235626220703,112.99024736381341,110.93391044658684,111.61658676231238,2324000
2018-08-01,111.69152069091797,112.23265668343777,110.45105427151881,112.23265668343777,1592800
2018-08-02,118.58482360839844,119.60882546103322,114.47214944314634,114.47214944314634,3829400
2018-08-03,119.11763763427734,120.62450533447542,117.38598470431191,118.55151422288527,1787200
2018-08-06,119.48393249511719,119.57551070798232,118.07696390806069,119.14259436504561,998500
2018-08-07,117.78555297851562,119.02601895429453,116.51179161494458,119.02601895429453,1731400
2018-08-08,117.26941680908203,118.19351963223711,116.74492224089965,117.66902506405474,793000
2018-08-09,116.72825622558594,117.45254841652289,116.54509983424089,117.41091965425088,646500
2018-08-10,116.72825622558594,117.61073009116767,116.21208243937959,116.62834465547019,500500
2018-08-13,117.56912231445312,117.79390750819331,115.9373685466588,117.32768307216853,648400
2018-08-14,118.08526611328125,118.6763640681169,117.23610031222509,117.62737512056562,594800
2018-08-15,120.69107055664062,121.09901211041472,118.28507540379726,118.66802953701664,1522700
2018-08-16,122.18965148925781,122.40610333401234,120.33311229661179,120.94086446262776,773500
2018-08-17,122.82235717773438,122.94723079042954,121.75672667167674,122.28954192470556,793100
2018-08-20,123.40510559082031,123.74644369156634,122.82234096961733,122.98884333234446,855900
2018-08-21,122.0064697265625,123.19697368066541,120.57452655021707,123.05544603807866,1303200
2018-08-22,120.8492660522461,122.13134826263058,120.34974624370768,122.13134826263058,715300
2018-08-23,121.44872283935547,121.69014944378361,119.80864795425684,120.53294047086167,728600
2018-08-24,121.2738265991211,121.69008879491817,120.26647919914807,121.24053121291553,726700
2018-08-27,120.4496841430664,121.82335770988242,119.89189404138496,121.82335770988242,681800
2018-08-28,120.49124908447266,121.64845745612693,120.25814327603251,120.71603422236632,696400
2018-08-29,120.53290557861328,121.23222316484765,120.2581709475962,120.47463546475213,668600
2018-08-30,120.71605682373047,121.56523540107422,120.14994624104544,120.52457973880068,452600
2018-08-31,120.69943237304688,121.46535360389464,119.59217295247757,120.5912127958888,1157500
2018-09-04,121.64850616455078,123.03050022745325,120.43302720576199,120.69942850636983,861900
2018-09-05,123.59664916992188,123.75481822619825,120.45802681804145,120.89926398780324,1095600
2018-09-06,124.64559173583984,125.15343228096789,122.18964655660801,122.86398949123486,1020300
2018-09-07,125.49478912353516,125.72789504420795,123.66322445636317,124.17106507711178,1003600
2018-09-10,125.34487915039062,126.86840041817806,125.22832623553165,125.71119194089448,772200
2018-09-11,125.01188659667969,125.71120415377234,124.77878074431548,125.63627999479445,929600
2018-09-12,125.57801055908203,125.91102802887919,124.620612327965,125.07017003304422,558500
2018-09-13,125.88605499267578,125.91935038844268,124.06282401898336,125.91102971533039,708600
2018-09-14,126.027587890625,126.09419138824319,124.43746273120088,125.88606022193066,631500
2018-09-17,126.48545837402344,126.943349451904,125.17008066421015,125.9942719010777,829200
2018-09-18,126.41889190673828,127.30136613390374,125.22837487519477,126.96834860259231,774200
2018-09-19,125.42815399169922,126.73521095281613,125.24499757116307,126.49378441846399,642000
2018-09-20,126.44386291503906,126.92672879374993,125.14512633941925,125.31162874851829,1028800
2018-09-21,126.93502807617188,127.69262851871444,126.64363938186553,126.82679581200367,1166000
2018-09-24,124.83708190917969,126.86844430221508,124.64560477638945,126.85179025052743,669400
2018-09-25,124.57897186279297,126.61865444849141,124.32921195971805,126.61865444849141,746500
2018-09-26,125.18670654296875,126.36888982314224,124.32088664175572,124.9286259773182,867900
2018-09-27,124.2792739868164,125.46979079655014,124.15440037541525,125.18672277184496,634300
2018-09-28,125.22003173828125,125.24500646073457,124.19601730442453,124.19601730442453,754100
2018-10-01,125.23658752441406,125.48634728163239,124.67047726447419,125.27821626783528,499400
2018-10-02,126.76017761230469,127.2846721198777,125.14509072995814,125.14509072995814,769300
2018-10-03,122.55594635009766,126.84344276267282,122.42273937139403,126.69358173580206,1438600
2018-10-04,122.03144073486328,122.48933174302371,120.01673300227299,121.5902037733584,1131200
2018-10-05,124.5290298461914,124.87868865001339,122.34781948283265,122.34781948283265,1563800
2018-10-08,124.77876281738281,125.46975960308576,123.66317045184098,124.01284188346631,791900
2018-10-09,125.12843322753906,126.11080602689046,124.56230996933941,124.83704457508571,672600
2018-10-10,122.8389892578125,124.86201764156759,121.19891502004417,122.35612353622085,1465900
2018-10-11,118.36833190917969,123.63821372323063,117.82719604449126,122.8389972860503,1332200
2018-10-12,120.5828628540039,121.27385981266964,118.21849598313737,119.47560358553838,1065700
2018-10-15,122.05643463134766,123.62158497668786,120.60783722427848,120.86591782307022,990200
2018-10-16,123.78807830810547,124.32089351600192,122.2812108937413,122.78905138121421,604400
2018-10-17,124.40414428710938,124.94529289651892,122.58924676535712,123.55497834554757,1122900
2018-10-18,124.04615020751953,125.8360727969729,123.48003964644589,124.37915492540807,823700
2018-10-19,127.01829528808594,128.63338248076812,125.74452085303898,125.74452085303898,1410100
2018-10-22,125.58635711669922,127.3179973281238,124.40416085398525,127.14317425353406,977400
2018-10-23,124.9869155883789,125.63628372543528,124.17103237756113,125.02853165350267,1005200
2018-10-24,127.34296417236328,129.23278580515398,125.14509980955671,125.36987229769646,1073800
2018-10-25,126.20243072509766,127.99236665775591,125.72789819729876,127.27639482535666,1024200
2018-10-26,123.06379699707031,125.86106756079644,122.33949193016763,124.93697741598403,1062100
2018-10-29,124.67884063720703,125.89433176357183,123.57158174014764,123.638185211773,1114500
2018-10-30,128.04722595214844,128.15614369826167,124.80456092597488,125.4162212020406,1334600
2018-10-31,124.38562774658203,127.15068641681995,120.66536838501918,121.30217736941921,3038300
2018-11-01,128.80972290039062,129.0610942074886,123.95831165008583,124.19292146063707,1909800
2018-11-02,129.20355224609375,129.7649409953761,128.0975362463177,128.77622991656534,1198400
2018-11-05,131.51608276367188,131.80096416403322,128.82643259423415,129.26214183231482,1387400
2018-11-06,132.47129821777344,132.59697744247262,130.9379477500828,131.49933626252601,1423500
2018-11-07,132.9488983154297,133.03269299268848,130.58603928294934,132.78132174618477,1171400
2018-11-08,132.16966247558594,133.11647585207314,131.38203853061103,132.83996875743688,791700
2018-11-09,133.03273010253906,133.3678833345208,131.7339889543764,132.18644709607935,1225600
2018-11-12,134.95985412597656,135.88990599359275,132.71428720812068,132.71428720812068,1095700
2018-11-13,133.94601440429688,135.78100813282217,132.86513451798336,134.91797653766795,794900
2018-11-14,134.214111328125,134.95985068741462,133.43487455556323,133.60245111882972,787000
2018-11-15,134.65821838378906,134.68335423099862,132.47968453362412,134.08006832742288,629600
2018-11-16,135.75584411621094,136.56860384363856,134.1303246613557,134.6079184889168,712800
2018-11-19,136.06590270996094,136.9456958845568,135.12746347587236,135.47937818865557,566500
2018-11-20,134.4068603515625,136.56024578112985,134.27279396307108,135.86479077426446,988700
2018-11-21,133.82029724121094,135.3871577502708,133.40134948710758,134.11355299792078,877000
2018-11-23,136.4345245361328,136.91211831837055,133.93759954912494,134.06327875885313,390700
2018-11-26,136.85350036621094,137.35623009356038,134.39008506785177,136.24184011122952,804200
2018-11-27,139.39230346679688,139.41743931034125,136.90375267373295,137.18025973799243,973300
2018-11-28,138.604736328125,140.51513793089939,137.97631441181036,139.00692277468892,1013800
2018-11-29,139.13255310058594,139.63528273942708,137.96787884382147,138.31979342659156,827400
2018-11-30,138.77227783203125,139.53476596600962,138.08521002573556,139.42583543679174,2160100
2018-12-03,138.49581909179688,138.76395193881277,135.48777563152512,138.5796138028088,993400
2018-12-04,137.10484313964844,139.47608891092096,136.75292856803043,138.97334650274064,1189000
2018-12-06,137.21380615234375,137.4400415892301,134.75040333787206,137.09650125641653,1082100
2018-12-07,136.1328887939453,137.33946041175847,135.57150031890444,137.2305299007619,808800
2018-12-10,135.9066925048828,136.8870290299745,134.61633863351486,136.5770116836983,868500
2018-12-11,139.1996307373047,139.78615522926077,136.14969059385805,136.49321814861267,928700
2018-12-12,137.28085327148438,140.38106536566096,136.99597175037798,139.69399741562341,1274400
2018-12-13,138.31983947753906,139.4007194283862,137.0546214288304,137.59087422662532,768100
2018-12-14,137.85064697265625,139.36723661520128,137.51548091735935,138.17742588577215,839700
2018-12-17,131.331787109375,137.99305589931555,130.32630196085398,137.30597523351116,1392300
2018-12-18,130.29275512695312,132.5550705045791,129.63919763531166,131.30661434542174,1105800
2018-12-19,129.74819946289062,132.38756672332667,128.5583759033197,130.62798002618385,1598500
2018-12-20,128.667236328125,130.30113006456418,126.79035851201897,129.06104825245535,1458300
2018-12-21,129.46327209472656,132.83999105825254,127.55287074313829,128.30698461472835,2074400
2018-12-24,121.8049087524414,129.60571663026934,121.7881600417849,129.60571663026934,907400
2018-12-26,126.37981414794922,126.37981414794922,121.39433712500265,122.48359134283405,793000
2018-12-27,128.34889221191406,128.40755106385183,123.38017549202077,125.53357416555481,843200
2018-12-28,128.298583984375,129.7816629358159,127.02499174074504,128.94376724566658,614300
2018-12-31,129.15321350097656,129.50512808121923,127.79582686500187,128.68399406065302,565400
2019-01-02,126.63116455078125,128.72590352483496,125.59216941695267,128.1896508588881,1048700
2019-01-03,127.38523864746094,129.25374183904333,126.06974949706165,126.78195292712834,880600
2019-01-04,128.24827575683594,129.60566229693606,126.75682287603534,127.65337714604118,1031500
2019-01-07,129.77330017089844,130.51063975009123,127.75396830883835,127.76234266378923,856900
2019-01-08,126.63955688476562,130.49388225838564,125.89383021553216,129.95762951629948,2527300
2019-01-09,126.471923828125,128.33205249343428,126.15351950974669,127.25116035223849,1578600
2019-01-10,128.2902069091797,128.348852957904,125.11458793638799,126.16195752686028,1457800
2019-01-11,128.49134826660156,129.50519520019154,127.51099876000853,128.7846041761548,1158600
2019-01-14,126.6730728149414,127.79586283202455,125.90221026241866,127.74559113288005,1255900
2019-01-15,127.87965393066406,129.2035308395183,127.14231431473571,127.1506886701038,856300
2019-01-16,127.27632141113281,128.06394522724173,125.75135824857206,127.59472579260766,829500
2019-01-17,127.3434066772461,127.85452365303959,126.52227233073843,127.44396287242373,734200
2019-01-18,129.345947265625,129.74814638260617,127.82098383254193,128.4494055693929,940600
2019-01-22,127.46575927734375,129.8855771727729,126.26007657453795,129.50616716179886,1062300
2019-01-23,127.9041748046875,129.05084427931007,126.8418243702951,128.19083895702332,712300
2019-01-24,125.77104187011719,127.3224145274501,125.23986018836341,127.3224145274501,967700
2019-01-25,124.52323150634766,126.8924506189268,123.9245970088161,125.48440968745443,1109800
2019-01-28,123.72224426269531,124.49793074162751,122.91282501299767,123.91616266610774,962900
2019-01-29,123.07300567626953,124.5316326010814,122.87064767684844,123.94143785103735,1167000
2019-01-30,122.80317687988281,123.88239365356661,122.25514173545606,123.0139616070129,1326300
2019-01-31,125.1050033569336,125.2652018694537,121.05793247041004,122.35636122692249,1256300
2019-02-01,126.3528060913086,127.32241075710921,125.79633128550041,126.47084503206067,1410100
2019-02-04,133.53634643554688,136.04047006033943,130.68653276544975,131.4959517903972,4004900
2019-02-05,128.7979278564453,132.84499822173888,128.1993062834015,132.78598517304874,2682300
2019-02-06,129.70004272460938,130.03729309739805,128.46062766343155,128.65454598452118,868500
2019-02-07,129.1604461669922,129.79280032249457,127.05259898198423,129.3206446114973,785700
2019-02-08,131.24302673339844,131.32733291866637,128.70516997608246,128.70516997608246,833400
2019-02-11,131.09967041015625,131.8416238836797,130.27338503638927,131.2345628547106,777300
2019-02-12,130.6022491455078,131.20931036252878,130.03734745902932,131.09127139617928,850600
2019-02-13,131.7910614013672,131.86694082736742,129.91086494277076,130.31556808005269,706300
2019-02-14,131.82479858398438,132.48244602858048,130.28185254388387,131.13341837207085,616400
2019-02-15,131.76576232910156,133.20753568462095,131.5887103430695,132.71851351916058,788000
2019-02-19,131.53811645507812,132.36440197386415,130.97321484444728,131.74890121420668,754600
2019-02-20,130.92259216308594,132.08612782689235,130.5516090317113,131.67298518235657,907900
2019-02-21,134.00851440429688,134.21085953004322,130.23125529543012,130.9057562016248,1197200
