Price,Close,High,Low,Open,Volume
Ticker,CVX,CVX,CVX,CVX,CVX
Date,,,,,
2018-01-02,94.51472473144531,94.63325413082713,93.00343673790626,93.12937599101892,5626000
2018-01-03,95.20368957519531,95.52225111645758,94.01096310621143,94.42582448672756,5805500
2018-01-04,94.90736389160156,95.0851664719402,94.24802819935083,94.78882883804248,4598300
2018-01-05,94.75178527832031,94.89995408652068,94.15912134964303,94.80364294817491,4189200
2018-01-08,95.21849060058594,95.29257782005253,94.55174518981559,94.72213788170296,4826100
2018-01-09,94.70733642578125,95.52225078044624,94.67029846097255,95.14442171413576,4422300
2018-01-10,95.31482696533203,95.38890290029205,94.67771514322285,95.05553293265801,5292200
2018-01-11,98.21146392822266,98.7670843089776,95.38890289852209,95.50743795940663,11641300
2018-01-12,98.97450256347656,99.15970933376441,97.87066614307628,97.92993366606329,7232900
2018-01-16,97.79656982421875,99.18192402402319,97.49283934030937,99.02634537762604,6254200
2018-01-17,98.05589294433594,98.38185873529109,97.0187393405027,97.92995367130808,5632700
2018-01-18,97.4854507446289,98.15960622489963,97.07058931188575,98.04848666403137,5890000
2018-01-19,97.2706069946289,97.7891837384776,96.46310811462698,97.66324447955186,6048900
2018-01-22,98.20404052734375,98.20404052734375,97.25578272474793,97.27060243219854,5248800
2018-01-23,97.06317901611328,98.2040478845395,96.84833280641986,98.07070441986816,5747300
2018-01-24,97.33729553222656,98.2855535430347,97.10023668158811,97.32989132893782,6868200
2018-01-25,96.78907775878906,97.6928879274295,96.55942311504268,97.61139647602332,4597200
2018-01-26,97.18911743164062,97.60397883472588,96.58163373131906,96.8335235581569,6310500
2018-01-29,95.18148803710938,97.47805718148003,95.06296426062201,96.35199652389404,6350700
2018-01-30,92.7737808227539,94.83327361774435,92.74414706031388,94.5369472974686,8084000
2018-01-31,92.8626937866211,93.2108834951874,91.89962176188665,92.91455146755246,9626800
2018-02-01,93.0256576538086,93.07010547063882,91.90700716306335,93.04788156222371,7844500
2018-02-02,87.8472671508789,91.82550452964527,87.15088796115396,91.82550452964527,13182600
2018-02-05,83.43193054199219,87.63982771285514,80.02412215661276,86.66934059521736,15414700
2018-02-06,86.81012725830078,87.14349722110173,82.0540182243978,82.37997833298505,18416300
2018-02-07,85.40995788574219,88.35844660787873,85.36551006796053,86.97310353443604,11535700
2018-02-08,83.19487762451172,85.85444394585546,83.12820025282404,85.3210475806008,9927500
2018-02-09,84.0838851928711,84.91361367180768,81.12057646360691,83.96535013071035,10922400
2018-02-12,84.43946838378906,85.82481132926274,83.6467836782198,85.0469463296266,8358200
2018-02-13,83.92829895019531,84.16536338513343,82.86891602017705,83.9653369122426,7065900
2018-02-14,84.18019104003906,84.49134275346664,82.52814958179584,83.34305835530178,7031900
2018-02-15,84.19515228271484,84.56176958659657,82.93068934433491,84.44206026032637,5405000
2018-02-16,83.90336608886719,84.501929931289,83.20753804809118,84.06048781312914,5950400
2018-02-20,83.03543853759766,84.36723683246652,82.73615667498824,84.00809745566987,6810900
2018-02-21,81.598876953125,83.84348209102494,81.598876953125,83.15513788540055,6892300
2018-02-22,82.21989440917969,83.37960946930588,81.47917623394497,81.96550854007295,8176700
2018-02-23,84.24005126953125,84.35228269897925,82.48926152012184,82.64638323801799,6460200
2018-02-26,85.74392700195312,85.7888229925911,84.43457382349473,84.68148179285961,7405800
2018-02-27,85.00321197509766,86.82882630158603,85.00321197509766,85.9459478971087,6059700
2018-02-28,83.7387466430664,86.38738178094492,83.7088178851533,86.05817115222753,7441000
2018-03-01,83.82854461669922,85.22020065809377,83.02796878284991,83.44696003545809,7516700
2018-03-02,83.52928161621094,83.93331143341531,82.17503764789316,83.42453377934265,6607300
2018-03-05,84.6590347290039,84.79371128120547,83.06536124323088,83.34968158028236,7814900
2018-03-06,85.03315734863281,86.43229141731798,84.56178644136183,85.18279546337804,7957900
2018-03-07,85.17530059814453,86.10307505370682,84.26997699432485,84.50940137129925,6660000
2018-03-08,84.8086929321289,85.85617684135792,84.24754144950565,85.74394540316766,6095100
2018-03-09,87.7042236328125,87.83141658001504,85.47457956080002,85.52695346307914,8833300
2018-03-12,87.38248443603516,88.54967735765067,87.21039551917642,87.91370700185571,6877000
2018-03-13,87.13558197021484,88.42248999471808,86.79140982315671,87.7117005596695,6793100
2018-03-14,86.1404800415039,87.87630816776027,85.9384680463838,87.52465808057545,5051000
2018-03-15,86.4771728515625,86.94853797110515,85.85616393415353,86.31256752807316,4519700
2018-03-16,86.34249877929688,86.93357895418983,85.71400622677591,86.34249877929688,14909400
2018-03-19,85.21270751953125,86.21530095838642,84.71141365426719,86.09558592340136,4803500
2018-03-20,85.66911315917969,86.56695310983149,85.62422287414526,85.70652553559317,4587200
2018-03-21,87.56954956054688,88.37012535149638,85.89357893159534,86.02825549962084,6829600
2018-03-22,85.07054901123047,86.59688148726671,84.90594939738797,86.45472701584241,6297200
2018-03-23,84.53182983398438,86.61930753529269,84.32232856483368,85.57182973116878,6227200
2018-03-26,86.30508422851562,86.48465107828841,84.7338614492675,85.47457969936656,6868700
2018-03-27,85.78880310058594,87.43484443136089,85.28002575516587,86.60434015121452,5530800
2018-03-28,83.87342834472656,86.23774898996002,83.84349958497747,85.99084100327542,6985300
2018-03-29,85.3249282836914,85.61672650962342,84.00809160491721,84.0155752207511,6627800
2018-04-02,83.97818756103516,85.58682293909277,82.70624649466106,85.21272195388532,6228600
2018-04-03,85.916015625,86.02824703870446,83.86593854575706,84.18766555393557,6717300
2018-04-04,85.65413665771484,85.88607736760947,84.12032082617154,84.584207954287,5727200
2018-04-05,87.756591796875,88.20551174538889,85.81874612260457,85.95342267799141,7204900
2018-04-06,85.86365509033203,87.547109432934,84.83861639117197,87.0757385636757,7094500
2018-04-09,86.77645874023438,87.66681511820265,85.95343208483789,86.26768122068358,6933800
2018-04-10,88.92377471923828,89.65701492836656,87.98852255410468,87.98852255410468,7612800
2018-04-11,89.22307586669922,89.3203400579292,88.10077302560867,88.80408463269019,6246800
2018-04-12,89.20812225341797,90.28552919477035,88.77416374637139,89.56725599775945,6702000
2018-04-13,89.72434997558594,90.37528753484169,89.20061104859361,89.42506814230768,5508100
2018-04-16,90.30796813964844,91.06365366612604,89.61214013589387,90.23314909040842,4598000
2018-04-17,90.8765869140625,91.28061655759531,90.20320417484116,90.4875245026938,6488300
2018-04-18,92.64234161376953,93.44291726793567,91.57989648549791,91.62478676439417,9132500
2018-04-19,92.56005859375,93.52523975300028,92.185957634738,92.75459269076798,7159400
2018-04-20,91.51255798339844,92.37299117298765,90.87658761138087,92.313133660525,7561200
2018-04-23,92.46277618408203,92.4852213238686,91.13097794569822,91.28061601649303,6113100
2018-04-24,91.68463897705078,93.5551432673244,91.09355893632518,93.04636587203693,7980500
2018-04-25,91.81934356689453,91.95402014527362,90.62222159704038,91.5350231745788,5331100
2018-04-26,92.94163513183594,93.00149265009946,91.50508894347406,91.78191997587041,6268400
2018-04-27,94.73731231689453,95.05903931361027,93.28579902357323,93.89932426052809,8836600
2018-04-30,93.60752868652344,95.69501241653346,93.56263840469316,95.03659117194643,7631600
2018-05-01,93.42047882080078,93.46536910291282,92.08868050709351,92.79946994605918,7093700
2018-05-02,93.89186096191406,94.62510138344396,92.84437709186898,92.92667976290788,5909100
2018-05-03,94.28091430664062,94.36321696470281,92.64983408700436,93.21846336847246,6727700
2018-05-04,93.92176818847656,94.9019106900473,93.308242959441,93.68234384808041,5403100
2018-05-07,93.48033142089844,96.06910316424674,93.10623053409584,94.71485978068581,6999700
2018-05-08,94.69991302490234,94.83458959348654,92.50019764080285,93.4728623815029,8937000
2018-05-09,96.30854797363281,97.58048890038972,95.83717713068249,96.08408512381577,11442700
2018-05-10,96.38336944580078,97.10163684076166,96.06163670813679,97.03430141310677,5446000
2018-05-11,97.14653778076172,97.83488220003521,96.15891715020607,96.80984918890537,8092300
2018-05-14,97.55804443359375,98.07430556675656,97.11660805644041,97.45329662517338,6212400
2018-05-15,97.07172393798828,97.46827005339667,96.70510087689225,97.4458249084985,5201700
2018-05-16,96.9370346069336,97.05674964879377,95.99430433975785,96.73501690087637,5405100
2018-05-17,97.70687866210938,97.78989902153306,96.89177281946142,97.17856100238944,5241600
2018-05-18,96.4992904663086,97.47288217774208,96.45400873780578,97.29929837974541,6385800
2018-05-21,97.6389389038086,97.669134405244,96.8087468736882,97.20119626267186,5081200
2018-05-22,96.77853393554688,98.40874523305426,96.68042736408171,97.42759890495033,5444200
2018-05-23,97.13326263427734,97.20118523048353,95.51060586068554,95.91815295413092,6017200
2018-05-24,95.55589294433594,96.15212738510796,94.98229937023427,96.15212738510796,5906200
2018-05-25,92.22000885009766,94.15965521940753,91.48792341454212,93.99361451137166,8936600
2018-05-29,91.6162109375,92.40112685916753,90.61242373168544,91.39733965335296,7385700
2018-05-30,94.46151733398438,94.84642348241958,92.33318429671637,92.56715329305673,7125300
2018-05-31,93.81248474121094,94.20493989765076,93.17851163237133,93.64644402798854,7460700
2018-06-01,93.47283172607422,94.75586962495798,93.15584812773136,94.71058214083507,5749900
2018-06-04,92.27281951904297,94.65020801244624,92.20489117220679,93.98604532384138,5760500
2018-06-05,92.62754821777344,93.36717666251354,91.73697107954277,92.08414443741522,5672600
2018-06-06,93.11813354492188,93.35210262530222,92.12189500870734,92.92190884280288,6213400
2018-06-07,95.82003784179688,96.5898617917874,93.89548948302848,93.99360181629616,8607200
2018-06-08,95.42757415771484,96.13701280766017,94.85398068401364,95.94078815879415,5108800
2018-06-11,96.27287292480469,96.7483541194257,94.98984067877866,95.6766385315255,6085100
2018-06-12,95.91060638427734,96.89175274246881,95.34456173719087,96.33325121150867,4543000
2018-06-13,95.9030532836914,96.46909790583284,95.16341911052766,95.70682286908001,6317900
2018-06-14,95.48040771484375,96.57475833902885,95.38228962926746,96.13701578611337,5056800
2018-06-15,93.61622619628906,95.94078396775636,93.46527752132829,95.9256862212087,13223800
2018-06-18,95.07286071777344,95.83513579510917,93.66152064517823,93.85020219593729,7696800
2018-06-19,94.74832916259766,95.01248218466706,93.4954808892056,93.827562264438,5947800
2018-06-20,94.55963897705078,95.44266718082477,93.81246170909614,95.18606305655685,7980700
2018-06-21,92.52188110351562,94.03133348735453,92.19735436876998,93.96341089397164,7290800
2018-06-22,94.41625213623047,95.52570063812782,94.20492970884132,94.65022118778643,8535200
2018-06-25,92.53697204589844,94.06906518151452,92.02375804281539,93.9105733838408,5801900
2018-06-26,93.70677947998047,94.04640386425764,92.50676218987022,92.85393544613862,4592800
2018-06-27,95.09549713134766,96.1672069075497,94.3860526911079,94.45398104041566,6339500
2018-06-28,94.83889770507812,95.744566848036,94.3407756457785,95.50305469270697,3814800
2018-06-29,95.4200439453125,96.40119041393821,94.89928096878451,94.89928096878451,5669700
2018-07-02,93.77471160888672,94.55962739099179,93.25394879236923,94.55207851823135,5073500
2018-07-03,94.1369857788086,95.61624819342974,94.00113485511365,94.68793258849708,3919600
2018-07-05,93.57096099853516,95.28418701566684,93.45020203723915,95.17852580358493,5926900
2018-07-06,93.69169616699219,93.97849000770891,92.97470868614886,93.22376391919883,4020000
2018-07-09,95.08795166015625,95.30682294759673,94.10681106188618,94.34077433965528,4602200
2018-07-10,96.29551696777344,96.98986371775986,95.66154969816084,96.09929229371478,5092100
2018-07-11,93.2237777709961,95.60871532894699,92.80868181549974,95.26909084189506,6631800
2018-07-12,93.78227996826172,94.3030371348823,93.27660903409114,93.91813091566361,3745200
2018-07-13,93.61622619628906,94.25019335681476,93.30678573119685,93.7369793781545,3352800
2018-07-16,92.81623077392578,93.49547974864545,91.98602734597249,92.83887163866925,4317800
2018-07-17,92.00867462158203,92.8011336837451,91.9256542781977,92.34829911135135,4135200
2018-07-18,91.72185516357422,91.8275163490371,90.31806426173569,91.50298391994318,6061300
2018-07-19,91.8275375366211,92.18225978027925,91.3294212270935,91.39734382280469,4471400
2018-07-20,92.2803726196289,92.34075209932686,91.32942172585459,91.51055440684435,5394700
2018-07-23,91.57093048095703,92.88415244597535,91.4426284099486,92.34074866511152,5359400
2018-07-24,93.47283172607422,93.70680074608268,91.97092831269434,91.97847718639873,4423500
2018-07-25,94.26530456542969,94.51436559610609,93.03509716075146,93.29925594013166,4278800
2018-07-26,93.54828643798828,94.62754486032495,93.43508214321021,94.11433094428858,5544100
2018-07-27,95.07286071777344,95.88041752469807,92.13697624861074,92.672831161794,7580900
2018-07-30,96.47664642333984,96.91438897812371,95.2615368449833,95.66908966239204,5729300
2018-07-31,95.29926300048828,97.02004336131212,95.19360180615303,96.60494169920705,5894400
2018-08-01,94.63511657714844,95.03512053686333,94.15209227582059,94.5747370999565,4661000
2018-08-02,93.40491485595703,94.19737390033416,93.05774149964365,93.91812889531245,4639600
2018-08-03,93.62377166748047,93.77471457885312,93.08036797357414,93.6992431231668,5299400
2018-08-06,93.81248474121094,94.29550912980068,93.23889112047127,93.90304821525594,4455900
2018-08-07,94.47662353515625,94.86907861557454,94.15209104711458,94.74832542087037,4542000
2018-08-08,93.49549865722656,94.18230240323223,93.07285374159547,93.97852306312072,5957200
2018-08-09,92.47660827636719,93.86530759738882,92.27283471849945,93.55586706502532,5218300
2018-08-10,93.08792877197266,93.22377972125624,91.69923529761073,92.20490048068137,6128000
2018-08-13,92.40868377685547,93.34454271341413,92.27283282170144,93.06529192834633,4360000
2018-08-14,92.51434326171875,93.32190010278761,92.07660066350462,92.77094741771063,3622200
2018-08-15,89.01240539550781,91.87281824067345,88.6274934405901,91.8501716190047,9476700
2018-08-16,89.65245819091797,90.14772887607165,89.2867138466243,89.68293155740906,5455200
2018-08-17,89.7591323852539,90.35346185789818,89.2181342106068,90.02581794178542,6112900
2018-08-20,89.72101593017578,90.15533399131819,89.40099331950412,89.91150640985768,5403600
2018-08-21,89.86581420898438,90.62015507935195,89.75151872842937,90.20107358842016,4875800
2018-08-22,90.6125259399414,91.02398614612387,90.23154491347346,90.32298245261705,3636900
2018-08-23,89.98771667480469,90.53633027930312,89.682930693049,90.20868636624485,3962500
2018-08-24,90.68112182617188,91.08496085659326,90.46015209355618,90.59730552023798,4415400
2018-08-27,91.7021255493164,91.80118432984692,90.80301015666662,90.94778479694432,3901900
2018-08-28,91.32877349853516,92.45647409832591,91.24495720639148,91.89262379843053,4685700
2018-08-29,91.60306549072266,92.0678627398662,91.34399540782397,91.4354329335485,4101700
2018-08-30,91.29067993164062,91.76309853983963,91.09257396560105,91.4964129599328,3353000
2018-08-31,90.26200866699219,90.97825473460107,89.98008066279743,90.97825473460107,5287000
2018-09-04,90.57443237304688,91.15351935439446,90.17820884548358,90.62014823649295,4590900
2018-09-05,90.6125259399414,90.62776843645322,89.34767195498857,89.95723810935182,4619400
2018-09-06,87.80087280273438,90.30010691906178,87.73229320841754,89.82768844553823,8191100
2018-09-07,87.32085418701172,87.89232575343628,86.39888075744389,87.25989582473218,6637800
2018-09-10,87.22940063476562,88.174231760493,87.15319979432462,87.95326211249157,5870900
2018-09-11,87.64086151123047,88.18947504899101,86.68079363345787,87.12272714926866,5605300
2018-09-12,88.22757720947266,89.52291023323112,88.20471928050057,88.70761115781194,5067800
2018-09-13,88.61619567871094,88.78382245965598,87.68660097479695,88.39522596931256,6297700
2018-09-14,89.43910217285156,89.614355999928,88.65428220168937,88.71524056009065,4947800
2018-09-17,89.53816986083984,90.42966414118585,89.36291601633894,89.61436490976257,5560200
2018-09-18,90.01057434082031,90.5972883712999,89.89628468464421,90.2925023904425,4966300
2018-09-19,91.06208801269531,91.46592697700173,90.00296120744704,90.16297254349435,4855300
2018-09-20,90.9935073852539,92.44123645515783,90.75730100801543,91.5802214241683,5846700
2018-09-21,92.29646301269531,92.39552180184785,90.9858931416322,91.36687417484234,13703600
2018-09-24,93.4317855834961,93.70609237751736,92.63172313204922,92.89079324342883,6534100
2018-09-25,94.00325012207031,94.66615331397466,93.6756062431686,94.10230308515838,5396400
2018-09-26,92.92127227783203,94.0413574528704,92.76126094044216,93.71371352965039,4231400
2018-09-27,93.31748962402344,93.72132856494622,92.7383968604485,93.08128325781777,4533400
2018-09-28,93.17272186279297,93.88134682706739,92.77650414053524,92.95175216282468,5202900
2018-10-01,94.78044891357422,95.15380865087343,93.8051385228204,93.8051385228204,5348200
2018-10-02,95.04713439941406,95.82433886336194,94.7271117675807,95.29858324441534,5445400
2018-10-03,95.48145294189453,95.88529185730934,95.07761402647971,95.34429955427171,4479500
2018-10-04,95.2071533203125,95.69480855443311,94.62806636311235,95.0852424184368,4824300
2018-10-05,95.49668884277344,95.9310069047047,95.04712828698742,95.1919029120672,4318000
2018-10-08,95.12332153320312,95.59574000760747,94.35374419389841,94.5213767433099,6267700
2018-10-09,96.63203430175781,97.10445290149815,95.29860061278914,95.63386580056032,6797900
2018-10-10,93.41654205322266,97.22635213543654,93.30986783598537,96.94442990987038,6504400
2018-10-11,90.2391586303711,93.28700658774132,89.56101292492092,93.28700658774132,8589900
2018-10-12,89.73626708984375,91.19161737982542,88.52475023397376,91.07732191091283,7450700
2018-10-15,89.10383605957031,90.5668016702141,89.08097813023348,89.68292298046562,6047300
2018-10-16,89.53816986083984,89.66770202533944,88.64666976718424,89.21814135406905,4846100
2018-10-17,89.37051391601562,89.67529984538682,88.40281902626016,89.30955556747976,6978700
2018-10-18,89.50768280029297,90.01819597778125,88.42569808621982,89.46958237253034,7391600
2018-10-19,90.0181884765625,90.87158799287333,89.43148030574845,89.43148030574845,7944400
2018-10-22,89.30955505371094,90.28486537144168,88.75332611311828,89.98770069067398,5644900
2018-10-23,86.40650177001953,88.1742535781315,85.37785411592715,88.1742535781315,8095300
2018-10-24,83.97583770751953,87.00082800765456,83.86916348447323,86.65032615860113,8035200
2018-10-25,85.01972198486328,86.40649260260157,84.14346451571184,84.85208941349238,5734000
2018-10-26,84.98162841796875,85.69787462133908,83.5567630729353,84.29586139488111,8035500
2018-10-29,83.00053405761719,85.3930946520472,81.94140717468905,85.370236718551,8598300
2018-10-30,84.46348571777344,84.69207664087885,82.40619066305923,83.52627572232024,7523800
2018-10-31,85.07305145263672,85.72071793660722,84.6158754529698,85.11876730861094,7429800
2018-11-01,84.70732116699219,85.33212982625611,83.89202199193673,85.16449724223007,10572000
2018-11-02,87.4198989868164,89.23336637455292,86.1931397555125,87.51133070229199,9890400
2018-11-05,90.62777709960938,91.18400619596969,88.8447827023813,88.86002520035017,8758700
2018-11-06,90.5972900390625,91.00112900047628,89.7972275512475,90.49061581579507,5273200
2018-11-07,92.0983657836914,92.28885631833793,90.68873117665933,91.43545663033,4848800
2018-11-08,90.9477767944336,92.86030287412635,90.6429908585502,91.93070838567071,9532400
2018-11-09,91.06208801269531,91.71737585363715,89.43148965871701,90.07915625128254,6565700
2018-11-12,89.44673919677734,92.4793512090518,89.27910658826282,92.12122805691804,10550800
2018-11-13,87.89231872558594,89.82008172538512,87.65611235727646,89.37814816746885,6846200
2018-11-14,88.17424011230469,89.75150115791877,87.5799107057412,89.05811297472236,6783500
2018-11-15,89.98235321044922,90.0823801073246,86.72775740398194,87.45100352547381,7218100
2018-11-16,91.60580444335938,91.76737957740907,90.22856206822381,90.4055286646342,6706900
2018-11-19,91.88279724121094,91.92896576077119,90.7132984511958,90.89795491906698,5328300
2018-11-20,89.32835388183594,91.94434478187193,88.51278249275404,91.74429686507195,7983500
2018-11-21,90.45939636230469,91.70584078640498,89.77462296977774,89.77462296977774,5624400
2018-11-23,87.40483856201172,88.65128293205521,86.25842109291126,88.25118706852966,5577800
2018-11-26,88.46662902832031,88.82055638239319,87.72799139272432,88.17424991877756,6953000
2018-11-27,88.64358520507812,88.98982267958039,87.88187215337021,88.13577846064724,6339200
2018-11-28,90.89794921875,91.00566597409674,88.02036213854434,88.46662062219396,6841700
2018-11-29,91.4442367553711,92.12132027142441,90.59019249862088,90.75176764582721,6656900
2018-11-30,91.51347351074219,91.72121127882757,90.55940248734746,90.82870023095944,6712500
2018-12-03,92.84455871582031,94.19871985078976,92.3752188770546,92.92149842198513,8237600
2018-12-04,90.20549774169922,93.1677208310106,90.07469963760245,92.7907121138571,8288100
