Price,Close,High,Low,Open,Volume
Ticker,EG,EG,EG,EG,EG
Date,,,,,
2018-01-02,187.76454162597656,193.11635421659955,187.09664538883808,193.11635421659955,563500
2018-01-03,190.62698364257812,191.112721656714,186.84514922990408,188.64932845052886,479000
2018-01-04,192.36178588867188,193.66287563604146,190.68771019799763,191.4510204184393,431700
2018-01-05,192.8648681640625,193.18579938753408,190.1499234260108,193.18579938753408,391000
2018-01-08,189.7422332763672,192.76943984285742,189.455991976209,192.2403295429349,551800
2018-01-09,188.18093872070312,191.4163114208925,188.1202280834096,189.03966269241496,436400
2018-01-10,190.8004608154297,191.7719368498186,187.66917120240663,187.85999874278562,394300
2018-01-11,193.2638702392578,194.4348563138097,190.82649754733507,191.13009045121723,365300
2018-01-12,194.4695281982422,194.59964510300816,191.38161091443223,193.35926610148732,278000
2018-01-16,193.2117919921875,196.11756385501587,192.96025384413173,195.675184951537,370500
2018-01-17,196.0308380126953,196.22166555100614,192.94292073511,194.20930723258937,265900
2018-01-18,193.63685607910156,196.98499424546966,193.42867695352172,195.6318497822549,312600
2018-01-19,194.81651306152344,195.6405339335012,193.78431306210484,194.14861660859913,259100
2018-01-22,199.93411254882812,204.5573194294162,199.45704368959886,199.50041599232307,477000
2018-01-23,200.92294311523438,201.05304678994673,196.82017733642346,199.56981195675087,446500
2018-01-24,201.2005157470703,202.70110215225375,200.4025024223737,201.23520564861988,321100
2018-01-25,200.3070831298828,201.67756582228378,199.55245536481058,201.18315863545425,288700
2018-01-26,198.84988403320312,200.4545666903233,195.84002867733884,200.4545666903233,294800
2018-01-29,198.47691345214844,199.29225192220667,195.3889826190589,198.82386542939153,253800
2018-01-30,197.28858947753906,199.89076919340556,196.2216994999375,198.00852745383992,291300
2018-01-31,199.32693481445312,200.00350036611346,197.35794879340665,197.67888000152627,419600
2018-02-01,199.62188720703125,200.9403286871569,197.8437283513027,198.43356265900533,296000
2018-02-02,199.16213989257812,201.78167088769686,198.91060170492443,198.91060170492443,346100
2018-02-05,195.5364227294922,201.05304344683447,194.5736290818926,198.03451912538108,493400
2018-02-06,210.1866912841797,210.77651220816432,196.01347871714634,196.01347871714634,942000
2018-02-07,213.98585510253906,217.43807561164826,210.10860724946255,210.1780002792144,669200
2018-02-08,209.09376525878906,214.61038555305154,209.09376525878906,213.37868901769755,514100
2018-02-09,207.974853515625,211.1321639646787,205.93647437548822,211.1321639646787,510700
2018-02-12,207.72332763671875,211.8434454915603,205.95385126578134,209.5361895517305,472300
2018-02-13,206.5956573486328,207.43702961323325,205.06905044103792,207.43702961323325,388600
2018-02-14,210.42088317871094,211.00203495152033,205.945131729034,206.0232071647716,280200
2018-02-15,210.24740600585938,212.20770958210517,208.2263785616509,211.21888201031848,368400
2018-02-16,211.00204467773438,211.81739632460457,208.4866099349536,209.69228583703205,283300
2018-02-20,211.00204467773438,212.511313464624,208.71212738042829,210.92398247376644,373400
2018-02-21,208.122314453125,212.51132167287304,207.9835283726868,210.91532145394086,375600
2018-02-22,207.6538848876953,211.1755116868502,207.56715352641694,208.9202845277376,382300
2018-02-23,210.72447204589844,210.88927884490397,205.15581019074378,207.89676220057774,257100
2018-02-26,209.58822631835938,211.34903348213695,208.28713649869889,211.34903348213695,335900
2018-02-27,210.9326934814453,212.46798330753566,208.90299636345068,210.1346932445082,367300
2018-02-28,208.3825225830078,212.52866053171812,208.3825225830078,212.05159168084805,286100
2018-03-01,206.76918029785156,210.73316005278576,206.43956667037074,209.27594593514846,315200
2018-03-02,207.3069610595703,207.54116091395096,205.56350560786075,205.86708526651736,226300
2018-03-05,220.62144470214844,221.48015541772807,210.82856899501536,212.51131376040985,506500
2018-03-06,222.05999755859375,222.73132519468135,217.38688512549624,220.2465495528612,423100
2018-03-07,222.8185577392578,223.3155182833099,219.67118087035968,220.2640320772645,350500
2018-03-08,224.3354949951172,224.65807491252258,221.19684614434442,222.66154628069933,322600
2018-03-09,228.9650421142578,229.67996487343297,223.34163050577448,225.4079089381356,400200
2018-03-12,227.8927001953125,229.6015173651583,226.9946698781987,228.6337508113428,263600
2018-03-13,228.22389221191406,228.82547012161567,226.70688353878063,228.82547012161567,185000
2018-03-14,227.00340270996094,229.51433300331325,226.070517553924,228.7296739383231,279400
2018-03-15,226.13145446777344,228.38954002114977,225.512449172562,227.927461148941,283100
2018-03-16,227.90139770507812,229.8456311884313,226.13154472136088,226.13154472136088,559800
2018-03-19,229.00865173339844,229.59277582482815,227.01210952255792,227.70957827234102,219300
2018-03-20,226.907470703125,229.40967353312485,226.7853990496007,229.40967353312485,211200
2018-03-21,226.32334899902344,230.9354390911308,223.75140961437245,226.20130393661827,151800
2018-03-22,220.83067321777344,225.7479020668299,220.72605557312204,224.81501705747922,275300
2018-03-23,216.7678680419922,223.2282737230196,216.7678680419922,221.676369928051,352700
2018-03-26,220.09829711914062,220.22908246288034,216.88989889714966,219.08694899567607,228300
2018-03-27,218.5725860595703,222.57437059004172,217.70073688238546,221.0573615358922,220500
2018-03-28,225.2247772216797,225.98330832512332,219.13928723677571,219.20030975898794,361400
2018-03-29,223.90829467773438,226.37561595055456,223.8123774401974,226.37561595055456,329700
2018-04-02,221.8158416748047,226.21868219617812,219.4095429995523,224.73652811523328,293000
2018-04-03,224.10011291503906,226.061773502094,222.57436359952294,223.25441817546195,267000
2018-04-04,225.17245483398438,225.46017993337,221.0224579559352,222.12971002487203,282400
2018-04-05,223.53343200683594,226.64591346937422,223.34162411612343,226.64591346937422,240400
2018-04-06,221.66766357421875,223.98678568583586,219.87165631450557,222.19949212908787,249300
2018-04-09,224.79757690429688,228.32858185139546,221.1096588024823,222.89695218297732,316400
2018-04-10,223.36773681640625,227.46541137936975,222.60921909810247,226.6110163403403,286600
