Price,Close,High,Low,Open,Volume
Ticker,EIX,EIX,EIX,EIX,EIX
Date,,,,,
2018-01-02,47.093379974365234,47.376313329170216,46.60197090563477,47.376313329170216,2387200
2018-01-03,46.72109603881836,47.45076381142109,46.42327118294167,47.06359263488873,3595400
2018-01-04,46.37860870361328,47.13061249647272,46.30415105464227,46.788115832012735,3970900
2018-01-05,46.8923454284668,47.00403046208756,46.18501350949482,46.631750803709515,3719800
2018-01-08,47.80071258544922,47.86027870249495,46.72110369654878,46.84023309037146,3473900
2018-01-09,47.294410705566406,47.90494631092087,47.06359628236023,47.80815563948765,5086100
2018-01-10,46.788116455078125,47.43588238827317,46.54241047060511,47.36142757857955,3587100
2018-01-11,46.400936126708984,47.21995023433276,46.16267737393594,47.03381040621205,2945300
2018-01-12,45.730838775634766,46.81789770081164,45.60426503600672,46.26692247351548,3170600
2018-01-16,45.6638298034668,46.01377079344171,45.150081994765486,45.79784788370547,5043900
2018-01-17,45.94675827026367,46.13289811369232,45.54469552679332,45.86485628471209,3045500
2018-01-18,46.103111267089844,46.63919488098059,45.85740817090217,45.91697143896315,3359000
2018-01-19,46.25202560424805,46.601969404437504,45.74572502365123,46.06588576844829,3222100
2018-01-22,46.266910552978516,46.59451843517342,46.01376029867704,46.42326731115258,2595200
2018-01-23,46.19245910644531,46.72109552151842,46.043546680155735,46.289249769305485,2948800
2018-01-24,45.9393196105957,46.25948040812991,45.805298679522366,46.252033222920865,3296100
2018-01-25,46.46794509887695,46.520064021869786,45.88718976251781,45.93930868551064,2682800
2018-01-26,46.50516891479492,46.78810221802154,45.84995883611063,46.71364743098362,2638300
2018-01-29,46.46794509887695,47.27207049408342,46.08822111131943,46.28924961985276,3377400
2018-01-30,46.53496170043945,46.89234986546659,46.31159445233108,46.460506897826214,2668000
2018-01-31,46.55729293823242,46.80299887487883,45.626593796877906,46.54984859481967,8259700
2018-02-01,45.96909713745117,50.302429639553,45.81273750984113,46.49773361290187,8274400
2018-02-02,45.86486053466797,46.125458043776874,45.5372554023735,45.76062266713195,4418200
2018-02-05,45.05327606201172,46.132887472934385,44.919258018702074,45.74571634707332,5521000
2018-02-06,44.94160842895508,45.27666074632182,43.750311616125444,44.60655611158834,4053800
2018-02-07,44.44274139404297,45.39577918223838,44.33850355164695,44.77779363050744,3077500
2018-02-08,43.23656463623047,44.3906311516682,43.2067815782178,44.301284817898946,3765700
2018-02-09,43.884334564208984,44.137484900070845,42.90896346683719,43.54183788635735,4457700
2018-02-12,44.718238830566406,44.956497612645315,43.698190402005565,43.96623224191152,2853600
2018-02-13,44.80012893676758,44.98626875021322,44.211929284883155,44.42040496705646,2338300
2018-02-14,44.10770034790039,44.688455774203156,44.055578576566994,44.539543325331785,2033400
2018-02-15,44.74057388305664,44.76290975588282,44.07046929558453,44.4725320480678,2878700
2018-02-16,45.45534133911133,45.693600070289435,44.70333775138071,44.70333775138071,4010100
2018-02-20,44.904380798339844,45.35855967040265,44.5693284826633,45.2766605179207,2635600
2018-02-21,43.99601745605469,45.15753120581857,43.96623439676793,44.934161101436736,3382600
2018-02-22,44.47997283935547,44.81502224466575,43.8322042178142,44.174703646776855,2882500
2018-02-23,46.289249420166016,46.579629927361204,45.3436616269362,46.16267570494896,3884400
2018-02-26,45.8797492980957,46.281812054580385,45.64149051801635,46.21480159516627,2903000
2018-02-27,45.306434631347656,46.624305001898776,45.29899028767754,45.85740979179572,3497700
2018-02-28,45.11285400390625,45.67871789623497,44.93415849880478,45.50746957565827,3906200
2018-03-01,45.254310607910156,45.89463202162329,44.859695111664315,45.15751994975773,3417100
2018-03-02,44.368289947509766,45.641485701756864,43.95878288997787,45.20219558979069,3112900
2018-03-05,45.17240905761719,45.298985609083765,44.018342769688196,44.2342656373106,2790700
2018-03-06,44.72569274902344,45.12775559494931,44.27151096087784,45.03840924261112,2319700
2018-03-07,44.01089859008789,45.14262901324422,43.780084195538386,44.82991264513625,2400400
2018-03-08,44.34595489501953,44.56187494298085,43.847098664980706,43.94389217354378,1716000
2018-03-09,44.211936950683594,44.38318526791373,43.88432900444451,44.308727625464556,2594500
2018-03-12,44.822471618652344,44.9713840506615,44.12258404028982,44.137475567517576,2155800
2018-03-13,46.20735168457031,46.86256183072477,44.01834550091883,44.599103692636746,5551100
2018-03-14,47.51032638549805,48.15809213254881,46.47538665043961,46.47538665043961,7544100
2018-03-15,47.651798248291016,48.17298751941689,47.309301630045866,47.51777733849622,5951900
2018-03-16,48.50803756713867,48.50803756713867,47.46565345323486,47.77836698324508,9180800
2018-03-19,47.67412567138672,48.5973775082853,47.465649999880846,48.45591512006975,3397000
2018-03-20,46.713653564453125,47.97195780832407,46.40093716924467,47.7262518663554,4268900
2018-03-21,46.110557556152344,46.89979143459382,45.991428182073285,46.743431823397046,1911500
2018-03-22,46.84767150878906,47.67413281650681,46.08077631058212,46.08077631058212,3191400
2018-03-23,46.281803131103516,47.36885896065671,46.207348341784915,46.95190759604351,2949300
2018-03-26,46.17012023925781,46.56473859362294,45.76806038199254,46.46794509082376,2684000
2018-03-27,47.0189208984375,47.48799121211839,45.95420087295583,46.17012091120188,2216600
2018-03-28,47.41359329223633,47.66167594134096,46.93998278705439,47.360970221409694,2537600
2018-03-29,47.85713577270508,47.93982999446589,47.26324351437058,47.391044457385235,2719200
2018-04-02,47.43614959716797,48.195430319612626,47.082823641530766,47.954866868553985,2237100
2018-04-03,47.44367218017578,47.706787577247084,46.67687505018445,47.383529879277916,1403000
2018-04-04,47.428627014160156,47.54890872389035,46.71445310799993,47.34593280101899,1991500
2018-04-05,47.85713577270508,48.02252421622671,47.045234864333175,47.48125503215046,1579400
2018-04-06,47.64664840698242,48.105223416759245,47.54140224757321,47.88721187641571,2370000
2018-04-09,47.706783294677734,48.00748903668766,47.36849005185219,47.5338784967319,1413500
2018-04-10,47.26324462890625,47.89472440263892,47.11289175559037,47.64664459924887,1813600
2018-04-11,47.44367218017578,47.578989489453235,47.16552120788001,47.203108712069806,1230400
2018-04-12,47.24069595336914,47.797000762607645,47.06027191942233,47.45870749129658,2728000
2018-04-13,47.69175720214844,47.96239185021231,47.360983114372075,47.360983114372075,3985700
2018-04-16,48.45102310180664,48.654001904941374,47.58649915596018,47.83458181068722,1819800
2018-04-17,49.02988815307617,49.120095866423334,48.105221810613145,48.586345865673096,3242300
2018-04-18,48.706634521484375,49.48094804813791,48.699115299583966,49.08251531970344,1765800
2018-04-19,48.57883071899414,48.646486501691385,47.99997114587596,48.601382646559884,1686500
2018-04-20,48.202945709228516,48.774280275402994,48.030038054014774,48.729176424253595,1387500
2018-04-23,48.11274337768555,48.481104963234884,47.90976739743178,48.240541475765895,1448600
2018-04-24,48.691593170166016,50.06731818601581,48.05259699844711,48.315712394391895,2426800
2018-04-25,48.74420928955078,48.93214965060331,48.26308242409508,48.654001586955744,1342700
2018-04-26,49.02988815307617,49.07499200974976,48.30067854759821,48.781805470400826,1155500
2018-04-27,49.45839309692383,49.54108732631979,48.781806554359356,48.8795334911521,1428400
2018-04-30,49.25542068481445,49.69144381744971,49.187764889484605,49.61626879969892,1153200
2018-05-01,49.25542068481445,49.47343225113208,49.02237640914115,49.32308221563051,1389800
