Price,Close,High,Low,Open,Volume
Ticker,MKTX,MKTX,MKTX,MKTX,MKTX
Date,,,,,
2018-01-02,191.88272094726562,192.20310311522806,186.76596667595766,190.68598240397137,391600
2018-01-03,189.34786987304688,192.79672967561427,189.20651467414484,191.76018239773333,275800
2018-01-04,194.62477111816406,194.84151284869543,188.51860414656068,188.93322299634193,329300
2018-01-05,195.2749786376953,198.47884259972963,194.8980602320515,195.69901543867346,181600
2018-01-08,195.44464111328125,196.92406124905486,193.14540099440507,193.71079309457798,182000
2018-01-09,192.75901794433594,197.21614222182413,192.5799766632956,196.04768649885108,186400
2018-01-10,194.4740447998047,196.2361608265091,191.9203770286481,192.58942380747328,229700
2018-01-11,189.89442443847656,195.64251011722237,189.56460999738917,194.36096720503826,207500
2018-01-12,191.967529296875,192.19368903212097,188.56578723042654,189.26310229687854,213700
2018-01-16,194.54945373535156,195.77444601841006,192.6648325263154,192.69310069416943,297600
2018-01-17,195.4069061279297,196.6884488672769,192.2313246309841,194.78499218179562,233900
2018-01-18,195.86862182617188,196.69785950100427,194.5682289958237,195.42573482970587,196300
2018-01-19,196.36807250976562,197.395187441102,194.99229293736232,196.41519090758726,182500
2018-01-22,189.6494140625,192.3632730182299,188.24538056045958,188.46210795862703,430900
2018-01-23,184.67398071289062,190.58227070842656,184.63629462495845,189.7341971340596,274100
2018-01-24,184.44784545898438,189.96035274918307,181.89417791262457,184.78707778288245,510300
2018-01-25,182.41244506835938,187.444379046234,182.30879035142868,185.64456276976262,258200
2018-01-26,182.32765197753906,183.26996241632799,179.98129380868875,183.02495249999248,289400
2018-01-29,179.7834014892578,184.06149891427447,179.1520552235031,182.12034171957757,264500
2018-01-30,180.78228759765625,184.9378662605061,179.0013212054297,179.0390073014715,347400
2018-01-31,184.8907470703125,188.2736382694359,179.49129762465674,184.54208241256222,462300
2018-02-01,184.31594848632812,184.6928669531928,178.5301623109964,183.12862799652046,384100
2018-02-02,184.96609497070312,188.028603652837,181.44186341258947,183.2887836735387,283000
2018-02-05,185.7576446533203,190.30900538778235,183.18512703481028,184.014364747313,597800
2018-02-06,183.9955596923828,185.79537636098368,180.70690495224198,183.6751775442549,545600
2018-02-07,183.75994873046875,185.22053274844893,182.39360150533213,184.00495864045567,162800
2018-02-08,178.1155242919922,184.66457900727798,177.60666859985986,183.9389959388385,379300
2018-02-09,178.2474365234375,180.89532641432137,174.56299945389088,179.2839693235848,307000
2018-02-12,180.4524688720703,183.25113233331805,178.39823879129872,179.02958512929325,156600
2018-02-13,182.54896545410156,182.77560781474608,176.68434940039182,179.82914184541073,206300
2018-02-14,186.6098175048828,187.07255528520452,181.61403056826703,181.61403056826703,188000
2018-02-15,187.83746337890625,188.84795844047323,185.24986744576697,187.18585228728287,128300
2018-02-16,190.1984405517578,190.63286241011124,186.9308884215601,187.72416547408125,122900
2018-02-20,188.98963928222656,191.70002424588017,186.99699354983932,189.9529125393833,242300
2018-02-21,190.75564575195312,193.23935957643988,188.64966439563614,188.97076509331387,253600
2018-02-22,188.3096923828125,192.5310794469384,187.440863007237,191.709472035169,215200
2018-02-23,186.6853790283203,189.027456163746,186.54372752865112,188.33804710503048,150100
2018-02-26,188.564697265625,189.05577979736552,185.94875585303916,187.19534664666008,115100
2018-02-27,189.83009338378906,191.78496973023965,188.65906971124036,188.65906971124036,130200
2018-02-28,191.142822265625,193.43767695311666,189.50904619921656,190.2362240363367,212000
2018-03-01,194.16488647460938,195.21315075523952,189.10299990302647,191.30341102939866,298900
2018-03-02,191.59613037109375,196.86578106393176,189.46181888019672,192.64439445101505,483900
2018-03-05,197.5646514892578,198.55625516999072,189.4429774030504,190.42512804417507,337400
2018-03-06,199.7083740234375,200.7283078598078,196.676902808938,197.61184576147394,285100
2018-03-07,200.66221618652344,201.54049864592835,196.53527283857852,198.3201536449785,296800
2018-03-08,204.6758270263672,206.186843401304,200.397779387098,201.1438489458916,224000
2018-03-09,206.70626831054688,208.944448298026,204.41141331733277,205.87520781455217,192100
2018-03-12,210.73878479003906,211.18264537175506,206.0640979420938,207.2256834765248,225500
2018-03-13,211.51316833496094,214.431304299637,211.32429487892009,211.32429487892009,472400
2018-03-14,211.13546752929688,212.45759642042194,207.69790359212342,211.71152665247524,159600
2018-03-15,211.6265106201172,212.85420982193332,209.59609554758768,211.3337545725557,203800
2018-03-16,212.0986785888672,214.06299421744663,211.02208404735083,211.97591876903908,265300
2018-03-19,210.36105346679688,214.0252595929686,208.1512034342621,211.9664997021395,165300
2018-03-20,211.749267578125,217.05668816227586,210.889876765994,210.889876765994,267400
2018-03-21,210.94654846191406,213.10919075523606,208.68947663895986,211.32430981080887,214100
2018-03-22,208.9350128173828,213.60969935755713,208.86889918142285,210.1626975011764,198300
