Price,Close,High,Low,Open,Volume
Ticker,SPG,SPG,SPG,SPG,SPG
Date,,,,,
2018-01-02,117.51319885253906,117.9221342272285,116.09556939318324,117.45867344260324,1442900
2018-01-03,116.96793365478516,117.64267377911166,115.76159428052108,117.29508605427134,1849300
2018-01-04,113.54657745361328,116.87936661389604,113.5056755942644,116.87936661389604,2159500
2018-01-05,114.60295867919922,114.75290094337281,113.38979701427304,113.85325775798894,2126500
2018-01-08,115.3526840209961,115.97971065663712,114.73246916195177,115.15503850310252,1874900
2018-01-09,112.81729888916016,115.46172391050806,112.5446822558834,115.12094791908314,1720900
2018-01-10,112.44244384765625,112.53786070980266,110.93621978094085,112.23797617172593,1339500
2018-01-11,112.3401870727539,112.79001376720524,111.8153892625607,112.62643758749874,1494600
2018-01-12,112.80364990234375,113.11716834851624,112.02668116144105,112.46287395633982,1238100
2018-01-16,112.48334503173828,114.56890302702047,112.38792816133913,113.08311415976654,1448900
2018-01-17,114.09180450439453,114.47348237303474,112.19709071219376,112.94680209744955,1699300
2018-01-18,111.94490051269531,114.24854928188172,111.60412455984083,113.83961397859365,1947600
2018-01-19,111.93809509277344,112.65371631467166,111.11341266419548,112.39473364756518,1805200
2018-01-22,113.2057876586914,113.70331769052078,111.8222379758981,111.96535806741032,1751600
2018-01-23,113.36254119873047,115.37311744414475,112.85818899358046,113.77146614375188,2864000
2018-01-24,113.2057876586914,113.92823109112639,112.29932228036859,113.58063292670958,1802200
2018-01-25,111.91083526611328,113.29438498111062,110.82035831617812,112.85138034514604,1476900
2018-01-26,111.57687377929688,112.70143033158155,111.10660127208995,112.35384258261257,1574700
2018-01-29,111.03845977783203,111.63140673899368,110.2955705322936,111.38604758270971,1678600
2018-01-30,110.82715606689453,111.41329112318448,109.9070568321365,110.96346436842914,2145000
2018-01-31,111.34513854980469,111.54960621438029,108.06687533995596,109.02786608370107,3259500
2018-02-01,108.80978393554688,112.34022906986031,108.57124695057956,111.50873471157125,2652400
2018-02-02,106.67652130126953,109.0483193348993,106.11764367284226,108.49626388221168,3166200
2018-02-05,105.72232818603516,108.48942725666032,105.204352482061,106.10399558892735,2678600
2018-02-06,106.30848693847656,106.3834580807326,103.68451775883383,105.06806760256487,3469700
2018-02-07,105.54511260986328,108.02596075635746,105.47695326971328,106.17895079470647,2055700
2018-02-08,103.71859741210938,106.91507854296594,103.6913399029542,105.22483218452128,2940100
