Price,Close,High,Low,Open,Volume
Ticker,SYK,SYK,SYK,SYK,SYK
Date,,,,,
2018-01-02,146.2158966064453,146.678898196877,144.13238944950282,145.05839263036614,1060800
2018-01-03,147.0400390625,148.4568369303665,145.76216427944232,146.19738690538622,1398700
2018-01-04,146.99375915527344,147.99384434834184,146.75298927028092,147.4474916991044,861700
2018-01-05,149.14207458496094,149.38284446230776,147.2437651805203,147.64195390783902,962700
2018-01-08,151.17930603027344,151.6237978239869,148.57723880530378,148.79021562540177,1240300
2018-01-09,148.88278198242188,152.04971098872394,147.47525326972547,151.4385455323271,1817400
2018-01-10,147.7345733642578,148.9939385291107,146.03999960912978,148.53093683805727,1255000
2018-01-11,146.86415100097656,148.4013059703527,146.1696484220874,147.7623754667152,1129600
2018-01-12,146.52146911621094,149.78100404146247,146.336271318913,147.23449547197856,1139000
2018-01-16,147.66976928710938,148.99394742029082,147.0956516774437,147.5679083438115,1369600
2018-01-17,148.4105224609375,148.58646531266425,147.2807975358684,148.160497664816,1299700
2018-01-18,148.41978454589844,148.91983416219904,148.1049468643384,148.243841685707,1364200
2018-01-19,149.34580993652344,149.8643695197555,148.43833066586734,149.10505416707682,1196700
2018-01-22,150.49404907226562,150.62368895943,148.74390353070228,149.36432399996676,1354700
2018-01-23,149.95700073242188,151.54045871695766,149.7718028686335,150.54964237435954,1103500
2018-01-24,152.31826782226562,152.7720003364452,150.5959013461524,150.79035410089017,1332300
2018-01-25,153.29983520507812,153.44799911073451,152.0775041779445,152.9386945160955,1009500
2018-01-26,156.41119384765625,156.50378568389112,153.05905287097346,153.39241456672957,1310200
2018-01-29,156.26307678222656,157.4205810546875,155.84637807007877,156.29085575439035,1558100
2018-01-30,155.98526000976562,156.16120290535588,154.003613424651,155.08703563836562,2171800
2018-01-31,152.21646118164062,155.6704503105094,151.35527057167525,155.6704503105094,2846500
2018-02-01,152.58682250976562,153.04056921305562,151.207072507288,151.72564622377183,1495500
2018-02-02,150.24403381347656,152.36457513066838,150.04956690549926,151.6885966852319,1240900
2018-02-05,142.97491455078125,150.63296637028085,140.76176706360906,149.50324112949605,2576000
2018-02-06,142.73411560058594,143.92865336856275,139.20604609157053,139.55793178695734,2754400
2018-02-07,142.2988739013672,145.1602196713969,141.92847836733088,142.2340610412686,1607900
2018-02-08,137.05772399902344,142.93784977585105,136.97438710491278,142.29890532829523,1654200
2018-02-09,140.03024291992188,141.19700218090415,135.93730936413056,138.2245390173215,1550100
2018-02-12,142.28968811035156,143.31755246597484,140.7710430752559,141.2155207580498,1568600
2018-02-13,143.12306213378906,143.53976077639138,141.03029984514268,141.31735859605342,950000
2018-02-14,144.6787567138672,145.1787922651009,141.98408379358747,142.3267004836978,1792200
2018-02-15,146.80857849121094,146.85488148893808,144.57692094955073,145.76220421697153,1161000
2018-02-16,148.04017639160156,149.37362370467525,146.4752282013885,146.5215312027548,1064600
2018-02-20,146.99375915527344,148.0864361943721,146.09553488362002,147.36415479877073,1118900
2018-02-21,146.1973876953125,148.81797841026875,146.09552677954787,147.04003985697926,1428600
2018-02-22,147.197509765625,148.65132778665105,146.4752140991738,147.08637974710666,811500
2018-02-23,149.73472595214844,149.78102894159204,147.13265902386692,147.82716147645544,983100
2018-02-26,153.50357055664062,153.69802333645654,150.89223447588643,151.07743230941696,1788900
2018-02-27,151.97564697265625,154.42029495697258,151.97564697265625,153.79987448277473,1196700
2018-02-28,150.16067504882812,153.59613884223506,150.10511712026212,152.94793945948723,1358000
2018-03-01,147.50308227539062,150.09589474273054,146.50301099069253,149.84588398640162,1352400
2018-03-02,148.90135192871094,149.2995266148312,146.58634339166534,146.58634339166534,1108100
2018-03-05,150.51258850097656,151.13302322168673,148.0494301614685,148.1605460495046,903000
2018-03-06,150.6885223388672,151.3182119691101,149.7717880583744,151.17004804085414,878500
2018-03-07,150.92926025390625,151.54041160142535,149.18836979023592,149.3087547226305,1096500
2018-03-08,151.2626190185547,152.4386328364609,150.6236745893138,151.34595591027656,1250800
2018-03-09,154.09617614746094,155.2166319631896,151.71634144631398,152.19786700489325,1684000
2018-03-12,155.46669006347656,155.9482157252329,153.54987062193777,154.0036031859895,1580000
2018-03-13,154.74444580078125,156.42050987882786,154.32774705077557,156.42050987882786,1295600
2018-03-14,154.06845092773438,155.92045773631995,153.56840117678954,155.3370710701145,736700
2018-03-15,154.1332244873047,154.6703080203059,153.55910704464586,154.49436515763637,898400
2018-03-16,155.11480712890625,155.84635764585613,153.6424652784174,154.2165828008168,2045100
2018-03-19,153.7443389892578,155.33706592223356,152.4571948651345,154.8648092883835,1160600
2018-03-20,154.1887969970703,154.98516036204185,153.13315385091627,154.23509998578612,856700
2018-03-21,152.54052734375,154.61477992702146,152.38310847037565,154.475885076894,907300
2018-03-22,148.91058349609375,151.90157010003594,148.65130371102876,151.49414053042565,980200
2018-03-23,145.9103240966797,149.3180089290591,145.7899391648805,148.61425161707294,1227400
2018-03-26,148.5309295654297,148.5309295654297,146.31778215574596,147.91977810172804,1336100
2018-03-27,146.80857849121094,150.00330164839858,145.91962310549087,149.04025016256224,961800
2018-03-28,146.7156982421875,148.14597733642887,146.11201205089205,147.16149749378573,822100
2018-03-29,149.45550537109375,150.7929170978204,147.00358859599507,147.6165713326949,1583900
2018-04-02,145.11825561523438,149.8642036137432,143.50221361888944,149.45554833845796,1239400
2018-04-03,147.75584411621094,147.84872541976154,144.06868027806792,145.38751259264265,1449900
2018-04-04,147.514404296875,148.04378816022873,145.03462601301737,145.35039983829506,1022000
2018-04-05,148.66607666015625,149.57625416556394,147.42153203816486,148.61033935959153,773500
2018-04-06,144.11517333984375,148.48962356869376,142.80562301070432,147.84877918755308,929500
2018-04-09,145.86123657226562,147.74661146201237,144.50524561046797,145.29469444169087,1134900
2018-04-10,148.9539794921875,149.6691118295103,146.96644104915092,147.2636357748058,1222800
