Price,Close,High,Low,Open,Volume
Ticker,WTW,WTW,WTW,WTW,WTW
Date,,,,,
2018-01-02,133.1554412841797,141.78848533800812,132.66625784714904,141.78848533800812,817700
2018-01-03,135.6466522216797,135.82782569228465,132.0774781778975,132.72971373019524,771200
2018-01-04,137.02354431152344,138.23743526130326,135.71001972931768,135.89119315054504,800900
2018-01-05,137.9022216796875,138.30986524963637,136.83328903748185,137.48552427845732,646700
2018-01-08,137.15943908691406,137.63955488855777,136.5525005041314,137.26814037856278,632700
2018-01-09,137.5399169921875,138.96214300650232,137.3859188774303,137.73014426579743,560200
2018-01-10,139.1523895263672,140.2937946804565,137.0326311733522,137.1866292941116,1131200
2018-01-11,140.19412231445312,140.33001274227144,138.61789840386655,139.67777739215094,630500
2018-01-12,140.82826232910156,141.2721351599594,139.7864909151983,140.28472821553058,558100
2018-01-16,138.2192840576172,140.98222306094934,138.08339365392627,139.9585734082452,727300
2018-01-17,140.00390625,140.357199274314,138.57261266305824,139.1614297626994,434100
2018-01-18,139.1071014404297,140.43874778177505,138.45486593354016,139.8227552600732,723200
2018-01-19,139.406005859375,140.14883480406377,138.78094585046495,139.65965139594067,448400
2018-01-22,140.04916381835938,140.7738573309531,138.590695316904,139.16139076693943,439100
2018-01-23,143.0114288330078,143.46436933233085,138.2193244321348,139.9495604569841,733600
2018-01-24,144.05319213867188,144.3883636659928,142.7396675293546,143.2469586483202,443700
2018-01-25,145.09495544433594,145.54789593601058,143.87202441040253,144.37024789312716,439200
2018-01-26,148.51010131835938,148.7365715195103,145.1492774513161,145.72904061335674,563700
2018-01-29,146.49000549316406,148.56446665906134,145.93741759475807,148.56446665906134,536900
2018-01-30,145.2489471435547,147.48647417950636,145.1674211760859,145.84683188361828,553400
2018-01-31,145.36669921875,146.78892494701714,144.75069306096918,145.6837630411931,629200
2018-02-01,148.49203491210938,148.55545322682457,144.2072209873071,145.1765066199955,516000
2018-02-02,146.44473266601562,149.46131819662975,146.35413903269537,147.83978338967236,431300
2018-02-05,142.67625427246094,148.95400282557878,142.1598954792711,146.40847948478566,696400
2018-02-06,143.4915313720703,144.05318693863296,138.69942741484903,140.3934203022407,814100
2018-02-07,142.5675506591797,145.06777714579965,142.19613614618768,142.82119622350433,972900
2018-02-08,138.02005004882812,145.57509538455585,137.92040257124015,143.2832172226815,898900
2018-02-09,137.82070922851562,140.66517448810927,133.25507591716803,139.64152472469604,1034700
2018-02-12,139.64154052734375,141.01848341815648,137.94754760303636,138.8624823707499,564600
2018-02-13,140.69236755371094,141.38084591937044,138.33708538699435,138.90778098374554,446500
2018-02-14,144.2615203857422,144.53328739589568,139.28822971465948,139.88611437246828,672200
2018-02-15,144.5967254638672,145.96461466451237,143.69084443462827,144.841317212103,321800
